#PSR      	  P           DM       Gl       Gb       Notes
#             (ms)     (pc/cc)     (◦)      (◦)
J1227-4853    1.68638  43.4235     298.965  13.796   GRS:4FGL_J1228.0-4853[aab+22],XRS:XSS_J12270-4859[rbr14]
J1231-1411    3.68388  8.0884      295.531  48.385   GRS:4FGL_J1231.1-1412[aab+22]
J1239+32      4.7      16.850      151.215  84.429   *
B1257+12      6.21853  10.16550    311.310  75.414   XRS:[pkgw07]
J1301+0833    1.84     13.2        310.811  71.282   GRS:4FGL_J1301.6+0834[aab+22],OPT:[lht14]
J1302-3258    3.77     26.1860     305.590  29.835   GRS:4FGL_J1302.4-3258[aab+22]
J1306-4035    2.20453  35          306.109  22.186   GRS:4FGL_J1306.8-4035[aab+22],OPT:SSS_J130656.3-403522[lin18],XRS:3XMM_J130656.2-403523[lin18]
J1308-23      2.83     22.357      307.888  39.712   *
J1311-3430    2.56037  37.84       307.681  28.176   GRS:4FGL_J1311.7-3430[aab+22],OPT:[rom12]
J1312+0051    4.22802  15.345      314.842  63.227   GRS:4FGL_J1312.7+0050[aab+22]
J1317-0157    2.91     29.390      315.897  60.277   *
J1327-0755    2.67792  27.91215    318.383  53.848   GRS:[sbc+19]
J1337-6423    9.42341  259.891     307.889  -1.958   *
J1400-1431    3.08423  4.932258    326.986  45.087   GRS:4FGL_J1400.6-1432[aab+22],OPT:[skm+17],XRS:[skm+17]
J1405-4656    7.6022   13.884      315.826  14.079   *
J1417-4402    2.66422  55.00       318.861  16.144   GRS:4FGL_J1417.6-4403[aab+22],XRS:[scc+15],OPT:[scc+15]
J1421-4409    6.38573  54.6403     319.497  15.809   *
J1431-4715    2.01195  59.3473     320.051  12.253   GRS:4FGL_J1431.4-4711[aab+22]
J1431-5740    4.11054  131.3766    315.962  2.660    *
J1431-6328    2.7723   228.27      311.929  -2.037   *
J1435-6100    9.34797  113.7819    315.186  -0.641   *
J1446-4701    2.1947   55.82787    322.500  11.425   GRS:4FGL_J1446.6-4701[aab+22]
J1453+1902    5.7923   14.057      23.395   60.812   *
J1455-3330    7.9872   13.5697     330.722  22.562   GRS:4FGL_J1455-3331[aab+22]
J1513-2550    2.11907  46.8765     338.820  26.964   GRS:4FGL_J1513.4-2549[aab+22]
J1514-4946    3.58934  31.00857    325.249  6.807    GRS:4FGL_J1514.3-4946[aab+22]
J1525-5545    11.3599  126.9640    323.439  0.851    *
J1529-3828    8.48628  73.655      333.886  14.728   *
J1536-4948    3.07991  38.00125    328.198  4.789    GRS:4FGL_J1536.4-4948[brj+21]
J1537-5312    6.9271   117.687     326.351  1.935    *
J1543-5149    2.05696  50.9820     327.921  2.479    GRS:4FGL_J1543.6-5148[aab+22]
J1544+4937    2.15929  23.2258     79.172   50.166   GRS:4FGL_J1544.0+4939[aab+22],OPT:[tkp+14]
J1545-4550    3.57529  68.3884     331.892  6.988    *
J1546-5925    7.79673  168.5       323.575  -3.767   *
J1547-5709    4.29115  95.7221     325.076  -2.052   *
J1551-0658    7.09     21.6        1.494    34.765   *
J1552-4937    6.28431  113.803     330.342  3.372    *
J1552+5437    2.42789  22.9000     85.594   47.210   GRS:4FGL_J1553.1+5438[aab+22]
J1555-2908    1.7875   75.91       344.477  18.503   OPT:Gaia_ID6041127310076589056[gbv+21],GRS:4FGL_J1555.7-2908[rnc+22]
J1600-3053    3.59793  52.3282     344.090  16.451   GRS:4FGL_J1600.9-3054[aab+22],XRS:[pb15]
J1602+3901    3.708    17.2590     62.184   48.788   *
J1603-7202    14.842   38.0497     316.630  -14.496  *
J1611-29      9.6      83.033      347.109  16.285   *
J1614-2230    3.15081  34.4850     352.636  20.192   GRS:4FGL_J1614.5-2230[aab+22],OPT:[bk11]
J1618-36      5.77875  104         343.113  10.181   *
J1618-3921    11.9873  117.9312    340.725  7.888    *
J1618-4624    5.93137  125.4068    335.816  2.792    GRS:4FGL_J1618.7-4633[aab+22]
J1622-0315    3.84543  21.4        10.708   30.676   GRS:4FGL_J1623.0-0315[aab+22]
J1624-39      2.96     77.5        341.199  6.701    GRS:4FGL_J1624.3-3952[aab+22]
J1625-0021    2.83361  16.497      13.890   31.827   GRS:4FGL_J1625.1-0020[aab+22]
J1628-3205    3.21     42.1        347.428  11.482   GRS:4FGL_J1628.1-3204[aab+22],OPT:[lht14]
J1629-6902    6.0006   29.4948     320.371  -13.926  *
J1630+3550    3.22916  17.45494    57.877   43.077   *
J1630+3734    3.31811  14.18009    60.245   43.215   GRS:4FGL_J1630.6+3734[aab+22]
J1640+2224    3.16332  18.42881    41.051   38.271   GRS:4FGL_J1640.1+2222[aab+22]
J1641+8049    2.02118  31.08960    113.840  31.763   GRS:4FGL_J1641.2+8049[aab+22],OPT:[lsk+18]
J1643-1224    4.62164  62.3975     5.669    21.218   *
J1646-2142    5.85311  29.7230     358.269  15.116   *
J1652-4838    3.78512  188.1559    337.954  -3.019   *
J1653-2054    4.12915  56.5213     359.969  14.261   *
J1658-5324    2.4393   30.8301     334.869  -6.625   GRS:4FGL_J1658.6-5323[aab+22],XRS:[pb15]
J1705-1903    2.48022  57.50473    3.148    13.042   *
J1708-3506    4.50516  146.7636    350.470  3.124    *
J1709+2313    4.6312   25.3474     44.522   32.209   *
J1710+4923    3.22023  7.08493     75.929   36.449   *
J1713+0747    4.57014  15.9904     28.751   25.223   GRS:4FGL_J1713.8+0747[aab+22]
J1719-1438    5.79015  36.7752     8.858    12.838   *
J1721-2457    3.49663  48.2341     0.387    6.751    *
J1723-2837    1.85573  19.688      357.616  4.260    OPT:2MASS_J17232318-2837571[cls+13]
J1725-3853    4.79182  158.2       349.372  -1.856   *
J1730-2304    8.1228   9.6257      3.137    6.023    GRS:4FGL_J1730.8-2303[aab+22],XRS:[pb15]
J1731-1847    2.34456  106.4711    6.890    8.151    GRS:4FGL_J1731.7-1850[aab+22],XRS:[pb15]
J1732-5049    5.31255  56.8209     340.029  -9.454   GRS:4FGL_J1732.7-5050[aab+22]
J1737-0811    4.17502  55.3060     16.933   12.318   *
J1738+0333    5.8501   33.77312    27.721   17.742   OPT:[avk+12]
J1741+1351    3.74715  24.19871    37.885   21.641   GRS:4FGL_J1741.4+1354[aab+22],OPT:[zkk+19]
J1744-1134    4.07455  3.13849     14.794   9.180    GRS:4FGL_J1744.4-1135[aab+22]
J1745-0952    19.3763  64.501      16.371   9.895    *
J1745+1017    2.65213  23.9711     34.869   19.254   GRS:4FGL_J1745.5+1017[aab+22]
J1745-23      5.4167   244.94      4.701    2.896    *
J1747-4036    1.64561  152.9407    350.208  -6.412   GRS:4FGL_J1747.7-4037[aab+22]
