#PSR      	  P           DM       Gl       Gb       Notes
#             (ms)     (pc/cc)     (◦)      (◦)
J1902+0011g   5.92     248.5       34.4     -2.4     FAST-GPPS
J1902-0107g   6.12     290.3       33.2     -3.0     FAST-GPPS
J1903+0830g   4.08     334.8       41.9     1.2      FAST-GPPS
J1904+0853    6.19     195.1       42.4     1.1      FAST-GPPS
J1906-0200g   2.53     138.4       32.9     -4.4     FAST-GPPS
J1907+0009g   2.37     83.0        34.9     -3.5     FAST-GPPS
J1907+0052g   2.92     162.9       35.6     -3.3     FAST-GPPS
J1908+0705g   1.99     41.4        41.2     -0.6     FAST-GPPS
J1911+0305g   5.85     147.0       38.0     -3.1     FAST-GPPS
J1911+1206g   3.44     181.7       46.0     1.1      FAST-GPPS
J1913+0453g   6.08     297.0       39.8     -2.7     FAST-GPPS
J1915+0720g   5.69     122.1       42.2     -2.0     FAST-GPPS
J1917+0616g   3.96     172.5       41.5     -2.8     FAST-GPPS
J1917+0621g   2.10     63.1        41.6     -3.0     FAST-GPPS
J1917+0923g   4.71     297.8       44.3     -1.5     FAST-GPPS
J1917+1556g   2.92     72.0        50.0     1.6      FAST-GPPS
J1918+1521g   4.07     237.0       49.6     1.2      FAST-GPPS
J1919+0126g   1.89     125.2       37.4     -5.6     FAST-GPPS
J1919+1340g   11.66    394.5       48.2     0.2      FAST-GPPS
J1919+1502g   3.64     232.8       49.5     0.7      FAST-GPPS
J1920+0129g   3.58     104.1       37.6     -5.8     FAST-GPPS
J1921+1216g   3.00     256.2       47.2     -0.9     FAST-GPPS
J1921+1652g   3.68     124.1       51.3     1.2      FAST-GPPS
J1921+1808g   5.66     137.9       52.4     1.8      FAST-GPPS
J1924+1201g   3.17     99.2        47.3     -1.7     FAST-GPPS
J1925+1628g   4.11     214.1       51.4     0.2      FAST-GPPS
J1928+1458g   2.97     86.2        50.5     -1.2     FAST-GPPS
J1929+1259g   2.85     90.9        48.9     -2.4     FAST-GPPS
J1929+2355g   4.79     206.8       58.4     2.8      FAST-GPPS
J1930+1708g   2.28     87.2        52.5     -0.5     FAST-GPPS
J1931+1428g   2.60     241.3       50.4     -2.1     FAST-GPPS
J1932+2121g   14.24    192.1       56.5     1.1      FAST-GPPS
J1933+0913g   2.94     69.4        46.0     -5.1     FAST-GPPS
J1937+1912g   5.08     345.5       55.2     -1.1     FAST-GPPS
J1937+1927g   4.04     165.9       55.4     -0.9     FAST-GPPS
J1939+1848g   3.35     79.3        55.0     -1.5     FAST-GPPS
J1939+2425g   5.78     186.9       59.9     1.2      FAST-GPPS
J1943+2446g   5.59     237.4       60.7     0.6      FAST-GPPS
J1943+2847g   6.29     191.6       64.2     2.5      FAST-GPPS
J1946+2433g   8.56     275.4       60.9     -0.3     FAST-GPPS
J1947+2304g   10.90    320.5       59.7     -1.1     FAST-GPPS
J1951+2528g   2.31     205.1       62.2     -0.7     FAST-GPPS
J1952+2818g   3.09     250.2       64.8     0.5      FAST-GPPS
J1953+1006g   2.59     57.2        49.2     -8.9     FAST-GPPS
J1957+2754g   3.31     233.7       65.0     -0.5     FAST-GPPS
J1959+2758g   5.15     142.8       65.3     -0.9     FAST-GPPS
J2000+3157g   3.49     270.0       68.7     1.1      FAST-GPPS
J2003+3032g   1.79     164.4       68.0     -0.4     FAST-GPPS
J2007+3343g   2.68     217.2       71.1     0.6      FAST-GPPS
J2015+3404g   4.27     208.1       72.2     -0.5     FAST-GPPS
J2355+0049    3.7      11.0        94.7     -58.9    FAST-CRAFTS
J1929+0129    6.4      53.0        38.6     -7.7     FAST-CRAFTS
J1720-0533    3.268    37.8        17.0     17.5     FAST-CRAFTS
J1810-0615    4.146    159.0       22.6     6.3      FAST-CRAFTS
J1853-0620    3.442    142.0       27.5     -3.2     FAST-CRAFTS
J2016+0700    6.82     65.0        49.3     -15.2    FAST-CRAFTS
J2204+0945    6.04     18.0        69.4     -35.2    FAST-CRAFTS
J1437+3055    3.719    17.4        48.6     66.7     FAST-CRAFTS
J0924+6102    5.983    21.8        153.6    41.7     FAST-CRAFTS
J1759-1247    3.151    95.9        15.5     5.5      FAST-CRAFTS
J2032-1253    5.788    22.9        32.3     -28.1    FAST-CRAFTS
J2205+6014    2.416    157.8       103.6    3.8      FAST-CRAFTS
J1912-1215    5.289    39.5        24.2     -10.1    FAST-CRAFTS
J2238-1221    2.369    39.2        51.6     -55.5    FAST-CRAFTS
J2003-0937    3.177    30.8        32.3     -20.2    FAST-CRAFTS
J1852-1310    4.314    44.8        21.2     -6.1     FAST-CRAFTS
J1813-0852    4.227    135.0       20.6     4.4      FAST-CRAFTS
J1855-0756    3.427    48.7        26.3     -4.4     FAST-CRAFTS
J1824-0622    3.234    131.1       24.1     3.2      FAST-CRAFTS
J2230-0336    5.106    10.3        61.6     -48.9    FAST-CRAFTS
J1826-0049    4.59     42.6        29.3     5.3      FAST-CRAFTS
J2016+0756    4.328    36.6        50.1     -14.8    FAST-CRAFTS
J1934+0906    4.66     72.4        45.9     -5.2     FAST-CRAFTS
J2319+2048    3.397    22.1        95.5     -37.1    FAST-CRAFTS
J1917+2441    4.399    82.0        57.8     5.8      FAST-CRAFTS
J0435+3233    3.198    38.4        168.1    -10.1    FAST-CRAFTS
J0447+2446    2.995    32.8        175.9    -13.1    FAST-CRAFTS
J1602-0611    3.95     27.6        4.3      33.2     FAST-CRAFTS
J0227+2859    4.089    168.2       146.9    -29.4    FAST-CRAFTS
J0640-0139    3.461    149.8       213.1    -3.3     FAST-CRAFTS
J2149+5644    15.29    198.3       99.8     2.3      FAST-CRAFTS
J2024+2704    8.0      179.0       67.5     -6.0     FAST-CRAFTS
J0756-0517    3.163    21.7        225.2    11.8     FAST-CRAFTS
J1904+0553Ag  4.90     164.2       39.6     -0.2     FAST-GPPS
J1859+0026Ag  8.57     334.1       34.3     -1.7     FAST-GPPS
J1853-0008Ag  2.82     285.3       33.0     -0.5     FAST-GPPS
J1943+2210g   12.87    110.7       58.5     -0.9     FAST-GPPS
J1859+0026Bg  2.33     191.6       34.3     -1.7     FAST-GPPS
J1904+0056g   5.85     51.4        35.3     -2.6     FAST-GPPS
J1743-2427    11.76    196.8       3.6      2.7      PKS-HTRU
J1745-2324    5.42     245         4.7      2.9      PKS-HTRU
J0557+1551    2.56     102.7       192.7    -4.3     AO-PALFA
J1840+03      5.83     81.0        34.7     4.0      AO-PALFA
J1905+0453    6.09     183.1       38.7     -0.8     AO-PALFA
J1919+04      3.96     142.8       39.7     -4.3     AO-PALFA
J1935+11      5.39     69.5        48.1     -4.3     AO-PALFA
J1936+24      1.90     94.5        60.0     +2.0     AO-PALFA
J1940+25      5.89     30.9        61.1     1.6      AO-PALFA
J1944+16      2.43     170.8       54.0     -3.5     AO-PALFA
J1813-2617    4.43     122.5       5.3      -3.9     PKS-PMPS
