PSR                 P    DM
#                  (ms)  (pc/cc)
J1750−3703G    5.35226   229.1
J1750−3703H    4.6529    227.2
J1750−3703I    4.9764    230.7
J1801−0857A    7.17561   182.5
J1801−0857C    3.73870   182.2
J1801−0857D    4.22653   174.7
J1801−0857E    7.6017    183.2
J1801−0857H    5.64272   179.6
J1801−0857I    3.25      177.8
J1801−0857J    1.70      182.4
J1801−0857K    9.59      182.4
J1801−0857L    6.06      165.6
J1801−0857M    5.36      183.1
J1801−0857N    5.00      182.6
J1801−0857O    4.28      182.6
J1801−0857P    5.54      183.2
J1801−0857Q    7.26      182.5
J1801−0857R    6.59      182.5
J1803−3002A    7.10139   192.6
J1803−3002B    4.397     191.7
J1803−3002C    5.84040   193.8
J1803−3002D    5.53      192.6
J1803−3002E    17.926    192.7
J1807−2459A    3.05945   134.0
J1807−2500B    4.18618   137.1
J1807−2459C    5.73      136.5
B1820−30A      5.44000   86.8
J1823−3021D    3.02006   86.8
J1823−3021E    4.394     91.4
J1823−3021F    4.850     86.7
J1823−3021G    6.09129   86.2
J1823−3021H    5.13      86.8
J1823−3021I    4.319     87.3
J1823−3021K    2.768     87.5
B1821−24A      3.05431   120
J1824−2452B    6.54666   119.3
J1824−2452C    4.15828   120.5
J1824−2452E    5.41913   119.6
J1824−2452F    2.45115   123.6
J1824−2452G    5.90906   119.6
J1824−2452H    4.62941   121.5
J1824−2452I    3.93185   119.0
J1824−2452J    4.03969   119.1
J1824−2452K    4.46105   119.8
J1824−2452L    4.10011   119.0
J1824−2452M    4.78428   119.3
J1824−2452N    3.35287   119.3
J1835−3259A    3.889     63.3
J1835−3259B    1.83029   63.5
J1836−2354A    3.35434   89.1
J1836−2354B    3.23227   93.3
J1836−2354C    5.64      87.8
J1836−2354D    7.79      89.5
J1848−0129A    19.78     491.1
J1853−0842A    2.14943   155.1
J1905+0154A    3.193     193.6
J1905+0154B    4.968     192
J1911−5958A    3.26619   33.7
J1910−5959B    8.35780   33.2
J1911−6000C    5.27733   33.2
J1910−5959D    9.03529   33.3
J1910−5959E    4.57177   33.2
J1910−5959F    8.48549   33.2
J1910−5959G    4.79      33.3
J1910−5959H    2.01      33.2
J1910−5959I    2.65      33.3
J1911+0102A    3.61852   202.6
J1911+0101B    5.38432   196.6
J1953+1846A    4.88830   117.3
J1953+1846E    4.44408   113.1
B2127+11D      4.80280   67.2
B2127+11E      4.65144   66.5
B2127+11F      4.02704   65.5
B2127+11H      6.74339   67.1
J2129+1210I    5.12      67.3
J2129+1210J    11.843    66.4
J2133−0049A    10.15     43.3
J2133−0049B    6.97      43.8
J2133−0049C    3.00      44.1
J2133−0049D    4.22      43.6
J2133−0049E    3.70      43.8
J2133−0049F    4.78      43.4
J2140−2310A    11.0193   25.0
J2140−2310B    12.98983  25.0
